age,first_device_type,gender,signup_app,signup_method,Month_name,month_looking,children,signup_location,Continent
43,Windows Desktop,FEMALE,Web,basic,Feb,Mar,4,North America,North America
33,Windows Desktop,FEMALE,Web,facebook,Feb,May,0,Australia,North America
39,Mac Desktop,MALE,Web,basic,Feb,Sep,5,North America,North America
52,Mac Desktop,FEMALE,Web,basic,Feb,Jan,0,North America,Europe
36,Windows Desktop,MALE,Web,facebook,Feb,Aug,1,Europe,North America
33,Mac Desktop,FEMALE,Web,basic,Feb,Oct,3,North America,Europe
38,Mac Desktop,MALE,Web,facebook,Feb,Apr,4,North America,North America
46,Mac Desktop,FEMALE,Web,basic,Feb,May,4,North America,North America
63,Windows Desktop,FEMALE,Web,facebook,Feb,Jul,4,Europe,North America
35,Mac Desktop,FEMALE,Web,basic,Mar,Feb,1,North America,North America
35,Mac Desktop,MALE,Web,basic,Mar,Jun,5,Europe,North America
36,Windows Desktop,MALE,Web,basic,Mar,Jul,3,Australia,North America
37,Mac Desktop,FEMALE,Web,basic,Mar,Dec,2,North America,North America
33,Mac Desktop,MALE,Web,basic,Mar,Mar,1,North America,North America
44,Mac Desktop,FEMALE,Web,basic,Mar,Feb,4,Europe,North America
35,Mac Desktop,FEMALE,Web,basic,Mar,Sep,0,North America,North America
39,Mac Desktop,FEMALE,Web,basic,Mar,Apr,3,North America,North America
45,Mac Desktop,FEMALE,Web,basic,Mar,Nov,2,North America,North America
25,Mac Desktop,MALE,Web,basic,Mar,Jun,5,North America,Europe
57,Mac Desktop,FEMALE,Web,basic,Mar,Jan,0,Europe,North America
60,Mac Desktop,MALE,Web,facebook,Mar,Dec,3,North America,North America
29,Mac Desktop,FEMALE,Web,basic,Mar,Mar,2,North America,North America
32,Windows Desktop,FEMALE,Web,basic,Mar,Nov,2,North America,North America
43,Desktop (Other),MALE,Web,facebook,Mar,Nov,2,North America,North America
30,Mac Desktop,FEMALE,Web,basic,Mar,Jul,5,North America,North America
29,Mac Desktop,FEMALE,Web,basic,Mar,Mar,2,North America,North America
42,Mac Desktop,FEMALE,Web,basic,Mar,May,4,North America,North America
44,Mac Desktop,MALE,Web,basic,Mar,Dec,3,North America,North America
48,Windows Desktop,MALE,Web,basic,Mar,Dec,3,North America,North America
32,Mac Desktop,MALE,Web,facebook,Mar,May,5,North America,North America
51,Windows Desktop,MALE,Web,basic,Mar,Jul,4,Europe,North America
45,Mac Desktop,MALE,Web,basic,Mar,Apr,4,Europe,North America
36,Mac Desktop,MALE,Web,basic,Mar,Nov,5,North America,North America
57,Mac Desktop,FEMALE,Web,basic,Mar,Jan,3,North America,North America
61,Mac Desktop,FEMALE,Web,facebook,Mar,Jul,2,North America,North America
64,Windows Desktop,MALE,Web,basic,Mar,May,0,North America,North America
35,Mac Desktop,MALE,Web,facebook,Mar,Aug,4,North America,North America
70,Mac Desktop,MALE,Web,facebook,Mar,Dec,3,North America,North America
28,Windows Desktop,FEMALE,Web,basic,Mar,Jul,1,North America,North America
52,Mac Desktop,MALE,Web,basic,Mar,Aug,3,Europe,North America
70,Windows Desktop,MALE,Web,facebook,Mar,Feb,2,North America,North America
67,Mac Desktop,FEMALE,Web,basic,Mar,Dec,5,Europe,North America
46,Mac Desktop,MALE,Web,basic,Mar,Nov,1,Europe,North America
55,Mac Desktop,FEMALE,Web,basic,Mar,Jun,2,North America,North America
30,Mac Desktop,FEMALE,Web,basic,Mar,Aug,4,Europe,North America
52,Mac Desktop,MALE,Web,basic,Apr,Oct,0,Europe,North America
31,Mac Desktop,FEMALE,Web,basic,Apr,Mar,1,Europe,North America
41,Mac Desktop,FEMALE,Web,basic,Apr,May,4,Australia,North America
29,Mac Desktop,MALE,Web,basic,Apr,Sep,2,Europe,North America
34,Mac Desktop,FEMALE,Web,basic,Apr,Feb,1,North America,North America
54,Android Phone,FEMALE,Web,basic,Apr,Mar,1,North America,North America
65,Windows Desktop,FEMALE,Web,basic,Apr,Feb,3,North America,North America
38,Mac Desktop,MALE,Web,basic,Dec,Feb,4,North America,North America
65,Mac Desktop,FEMALE,Web,basic,Apr,Apr,5,North America,North America
44,Mac Desktop,FEMALE,Web,basic,Apr,Jun,1,Europe,North America
44,Mac Desktop,FEMALE,Web,basic,Mar,Oct,0,Europe,North America
37,Mac Desktop,MALE,Web,facebook,Apr,Jan,0,Europe,North America
73,Mac Desktop,FEMALE,Web,basic,Apr,Sep,3,Europe,North America
29,Mac Desktop,FEMALE,Web,basic,Apr,Dec,1,Europe,North America
36,Mac Desktop,MALE,Web,basic,Apr,Feb,3,North America,North America
36,Mac Desktop,FEMALE,Web,facebook,Apr,Jul,3,Europe,Europe
32,Mac Desktop,FEMALE,Web,basic,Apr,Apr,3,North America,North America
36,Mac Desktop,FEMALE,Web,facebook,Apr,Apr,5,North America,North America
33,Mac Desktop,FEMALE,Web,facebook,Apr,Dec,1,North America,North America
54,iPad,MALE,Web,facebook,Apr,Jun,1,Europe,North America
31,Mac Desktop,MALE,Web,basic,Apr,Oct,2,Europe,North America
31,Windows Desktop,FEMALE,Web,basic,Nov,Aug,3,North America,North America
42,Windows Desktop,FEMALE,Web,basic,Apr,Oct,3,North America,North America
37,Mac Desktop,FEMALE,Web,basic,Apr,Mar,3,North America,North America
46,Mac Desktop,FEMALE,Web,facebook,Apr,Apr,3,North America,North America
28,Mac Desktop,FEMALE,Web,basic,Apr,Dec,0,Australia,North America
35,Windows Desktop,FEMALE,Web,facebook,Apr,Apr,1,Europe,North America
19,Windows Desktop,FEMALE,Web,facebook,Apr,Apr,3,Europe,North America
38,Windows Desktop,FEMALE,Web,basic,Apr,Sep,1,North America,North America
43,Mac Desktop,MALE,Web,facebook,Apr,Jul,4,North America,Europe
31,Mac Desktop,MALE,Web,basic,Apr,Oct,3,North America,Europe
41,iPad,FEMALE,Web,basic,Apr,Aug,1,North America,North America
35,Mac Desktop,MALE,Web,basic,Apr,Jul,5,North America,North America
30,Mac Desktop,MALE,Web,facebook,Apr,Apr,2,North America,Europe
30,iPad,MALE,Web,basic,Apr,Oct,3,Europe,North America
55,Mac Desktop,MALE,Web,basic,Apr,Jul,4,Europe,North America
33,Mac Desktop,MALE,Web,basic,Apr,Jul,3,North America,Europe
38,Windows Desktop,MALE,Web,facebook,May,Dec,1,Europe,Europe
36,Mac Desktop,FEMALE,Web,basic,May,Jul,5,North America,Europe
33,Mac Desktop,MALE,Web,basic,May,Feb,0,Australia,North America
33,Mac Desktop,FEMALE,Web,facebook,May,Nov,5,Europe,North America
66,Mac Desktop,MALE,Web,basic,May,Apr,0,North America,Europe
42,Mac Desktop,MALE,Web,basic,May,May,5,North America,North America
37,Mac Desktop,FEMALE,Web,basic,May,Apr,3,Europe,North America
43,Mac Desktop,MALE,Web,facebook,May,Feb,0,North America,North America
41,Windows Desktop,FEMALE,Web,basic,May,Jan,1,North America,North America
51,Windows Desktop,FEMALE,Web,basic,May,Jun,5,Europe,North America
32,iPad,MALE,Web,basic,May,Sep,1,Europe,North America
34,Windows Desktop,FEMALE,Web,basic,May,Jul,0,Europe,North America
42,Mac Desktop,FEMALE,Web,basic,May,Dec,3,North America,North America
30,Windows Desktop,MALE,Web,facebook,May,Sep,5,North America,North America
35,Mac Desktop,MALE,Web,facebook,May,Oct,1,Europe,North America
39,Mac Desktop,FEMALE,Web,basic,May,Feb,3,North America,Europe
35,Windows Desktop,FEMALE,Web,basic,May,Jan,4,North America,North America
34,Android Phone,FEMALE,Web,basic,May,Apr,5,Australia,North America
51,iPad,MALE,Web,facebook,May,Feb,4,North America,North America
37,Mac Desktop,MALE,Web,facebook,May,Apr,1,Europe,Europe
35,Mac Desktop,FEMALE,Web,basic,May,May,4,North America,North America
35,Mac Desktop,MALE,Web,facebook,May,Aug,4,Europe,North America
57,Windows Desktop,FEMALE,Web,basic,May,Jul,3,North America,North America
68,Windows Desktop,MALE,Web,basic,May,Feb,4,North America,North America
35,iPhone,FEMALE,Web,basic,May,May,3,North America,Europe
28,Windows Desktop,MALE,Web,facebook,May,Apr,0,North America,North America
35,Mac Desktop,MALE,Web,basic,May,Apr,5,North America,North America
29,Windows Desktop,FEMALE,Web,basic,May,Aug,4,North America,North America
33,Mac Desktop,MALE,Web,basic,May,Jul,4,North America,North America
25,Mac Desktop,FEMALE,Web,facebook,May,Sep,4,North America,North America
27,Mac Desktop,FEMALE,Web,basic,May,Jul,4,Europe,North America
31,Mac Desktop,MALE,Web,basic,May,May,0,North America,North America
29,iPhone,MALE,Web,basic,May,May,0,North America,Europe
49,Mac Desktop,FEMALE,Web,basic,May,Aug,1,Europe,North America
33,Mac Desktop,FEMALE,Web,basic,May,Jan,0,North America,Europe
51,iPad,FEMALE,Web,basic,May,Jan,0,North America,North America
31,Windows Desktop,FEMALE,Web,facebook,May,Oct,4,Europe,North America
35,Mac Desktop,FEMALE,Web,basic,May,Sep,2,North America,North America
29,Mac Desktop,MALE,Web,basic,May,Sep,2,Europe,North America
47,Windows Desktop,FEMALE,Web,basic,May,May,5,North America,Europe
38,Mac Desktop,MALE,Web,basic,May,Nov,5,Europe,Europe
29,Mac Desktop,FEMALE,Web,basic,May,Nov,0,Europe,North America
38,Windows Desktop,FEMALE,Web,basic,May,Sep,1,Australia,North America
45,Windows Desktop,MALE,Web,basic,May,Jul,0,Europe,North America
38,Mac Desktop,FEMALE,Web,basic,May,Feb,2,Europe,North America
32,Windows Desktop,FEMALE,Web,facebook,May,Jul,4,North America,North America
32,Mac Desktop,FEMALE,Web,facebook,May,Sep,4,Australia,Europe
45,Mac Desktop,FEMALE,Web,facebook,May,Aug,1,North America,North America
38,Mac Desktop,FEMALE,Web,basic,Jun,Nov,2,North America,North America
53,Windows Desktop,MALE,Web,facebook,Jun,Oct,3,Australia,North America
39,Mac Desktop,MALE,Web,basic,Jun,Nov,1,Europe,Europe
30,Mac Desktop,MALE,Web,basic,Jun,Dec,5,Europe,North America
18,Windows Desktop,FEMALE,Web,facebook,Jun,Feb,4,North America,North America
31,Mac Desktop,MALE,Web,basic,Jun,Aug,3,Europe,North America
33,Mac Desktop,FEMALE,Web,basic,Jun,Dec,1,North America,North America
51,Mac Desktop,FEMALE,Web,facebook,Jun,Feb,1,North America,North America
34,Mac Desktop,FEMALE,Web,facebook,Jun,Aug,0,Europe,North America
30,Mac Desktop,MALE,Web,facebook,Jun,Oct,1,North America,North America
45,iPhone,FEMALE,Web,basic,Jun,Sep,3,North America,North America
37,Mac Desktop,FEMALE,Web,basic,Jun,Aug,1,Europe,North America
35,Mac Desktop,FEMALE,Web,basic,Jun,Feb,0,North America,Europe
44,Mac Desktop,FEMALE,Web,basic,Jun,Apr,5,Europe,North America
37,Windows Desktop,FEMALE,Web,facebook,Jun,Feb,1,North America,North America
26,Mac Desktop,FEMALE,Web,basic,Jun,Sep,2,North America,North America
30,Mac Desktop,FEMALE,Web,basic,Jun,Aug,5,North America,North America
55,Mac Desktop,FEMALE,Web,basic,Jun,Jun,2,North America,North America
30,Windows Desktop,MALE,Web,facebook,Jun,Feb,2,Europe,Europe
25,Mac Desktop,MALE,Web,basic,Jun,Mar,5,North America,North America
32,Windows Desktop,MALE,Web,basic,Jun,Jun,1,North America,Europe
30,Mac Desktop,MALE,Web,basic,Jun,Mar,3,Europe,North America
39,Mac Desktop,MALE,Web,facebook,Jun,Mar,2,North America,North America
47,Mac Desktop,FEMALE,Web,facebook,Jun,Oct,3,North America,North America
38,iPad,FEMALE,Web,facebook,Jun,Apr,1,Europe,North America
30,Mac Desktop,FEMALE,Web,basic,Jun,Mar,1,North America,North America
34,Windows Desktop,FEMALE,Web,basic,Jun,Dec,3,North America,Europe
47,Mac Desktop,FEMALE,Web,facebook,Apr,Jul,3,North America,North America
65,Mac Desktop,MALE,Web,basic,Jun,Aug,2,Europe,North America
49,Mac Desktop,FEMALE,Web,basic,Jun,Oct,4,Europe,Europe
37,Mac Desktop,FEMALE,Web,basic,Jun,Feb,0,Europe,Europe
40,iPhone,FEMALE,Web,basic,Jun,Apr,3,North America,North America
33,Mac Desktop,MALE,Web,basic,Jun,Dec,2,Europe,North America
50,Windows Desktop,FEMALE,Web,basic,Jun,Nov,3,Europe,North America
38,Mac Desktop,MALE,Web,basic,Jun,Sep,5,North America,North America
34,Mac Desktop,MALE,Web,basic,Jun,Dec,2,Europe,North America
32,Windows Desktop,FEMALE,Web,basic,Jun,Nov,2,Europe,North America
75,Mac Desktop,MALE,Web,basic,Jun,Apr,3,Europe,North America
34,Mac Desktop,MALE,Web,basic,Jun,Nov,1,North America,North America
67,Windows Desktop,FEMALE,Web,basic,Jul,Nov,3,North America,North America
33,Mac Desktop,FEMALE,Web,basic,Jul,Dec,1,Australia,Europe
28,Mac Desktop,FEMALE,Web,basic,Jul,Aug,3,North America,North America
53,Mac Desktop,FEMALE,Web,facebook,Jul,Oct,3,North America,Europe
29,Windows Desktop,MALE,Web,basic,Jul,Dec,3,North America,North America
35,Mac Desktop,MALE,Web,basic,Jul,Oct,5,North America,North America
67,Windows Desktop,MALE,Web,basic,Jul,Dec,3,Europe,North America
28,Mac Desktop,FEMALE,Web,basic,Jul,Apr,0,Europe,North America
36,Mac Desktop,FEMALE,Web,basic,Jul,Apr,0,North America,North America
32,iPad,FEMALE,Web,basic,Jul,Jun,4,Australia,Europe
39,iPhone,FEMALE,Web,facebook,Jul,Dec,4,Europe,North America
29,Mac Desktop,FEMALE,Web,basic,Jul,Jul,5,North America,North America
38,Mac Desktop,FEMALE,Web,basic,Jul,Jan,0,North America,North America
26,Mac Desktop,FEMALE,Web,basic,Jul,Sep,0,North America,North America
43,Mac Desktop,FEMALE,Web,basic,Jul,Aug,4,North America,North America
30,Mac Desktop,FEMALE,Web,facebook,Jul,Aug,1,Europe,North America
33,Mac Desktop,FEMALE,Web,facebook,Jul,May,2,North America,Europe
34,Mac Desktop,FEMALE,Web,basic,Jul,May,5,North America,North America
27,Mac Desktop,FEMALE,Web,facebook,Jul,Jun,1,North America,North America
38,Windows Desktop,FEMALE,Web,facebook,Jul,Jan,5,Europe,North America
32,iPad,MALE,Web,facebook,Jul,Sep,4,North America,Europe
37,Windows Desktop,MALE,Web,facebook,Jul,Oct,1,Europe,Australia
32,Windows Desktop,FEMALE,Web,basic,Jul,Mar,3,North America,North America
59,Mac Desktop,FEMALE,Web,basic,Jul,Jun,4,North America,North America
31,Mac Desktop,FEMALE,Web,facebook,Jul,Feb,2,North America,North America
42,Desktop (Other),MALE,Web,facebook,Jul,Jun,2,North America,North America
79,Windows Desktop,MALE,Web,basic,Jul,Oct,4,Europe,North America
33,Windows Desktop,MALE,Web,basic,Jul,Dec,3,North America,North America
30,Mac Desktop,FEMALE,Web,basic,Jul,Mar,0,Europe,North America
31,Mac Desktop,FEMALE,Web,facebook,Jul,Nov,3,Europe,North America
43,iPad,MALE,Web,basic,Jul,May,3,Europe,North America
44,Windows Desktop,MALE,Web,basic,Jul,Apr,2,North America,Australia
37,Mac Desktop,MALE,Web,basic,Jul,Jan,5,Europe,Europe
39,Windows Desktop,FEMALE,Web,facebook,Jul,Apr,1,Europe,Europe
30,Windows Desktop,MALE,Web,basic,Jul,Aug,5,Europe,North America
40,iPad,FEMALE,Web,basic,Jul,Dec,1,Australia,North America
44,Windows Desktop,FEMALE,Web,facebook,Jul,Aug,1,Europe,Europe
28,Mac Desktop,FEMALE,Web,basic,Jul,Mar,2,Europe,Europe
73,Mac Desktop,FEMALE,Web,basic,Jul,Jun,2,North America,North America
33,Windows Desktop,MALE,Web,facebook,Jul,Feb,5,North America,North America
41,Mac Desktop,FEMALE,Web,basic,Jul,Aug,2,Europe,North America
51,Mac Desktop,MALE,Web,basic,Jul,Jun,0,North America,North America
30,Mac Desktop,FEMALE,Web,facebook,Jul,Oct,5,Europe,North America
31,iPhone,FEMALE,Web,basic,Jul,Feb,0,North America,North America
31,iPad,MALE,Web,basic,Jul,Nov,1,Europe,North America
47,Windows Desktop,FEMALE,Web,basic,Jul,Mar,3,North America,North America
35,Windows Desktop,MALE,Web,basic,Jul,Nov,3,Australia,Europe
31,Windows Desktop,MALE,Web,facebook,Jul,Sep,3,Europe,North America
48,Mac Desktop,MALE,Web,basic,Jul,Jun,1,North America,North America
50,Mac Desktop,MALE,Web,facebook,Jul,Jan,3,North America,Europe
60,Windows Desktop,MALE,Web,basic,Jul,Oct,1,Europe,Europe
33,Mac Desktop,FEMALE,Web,basic,Jul,Apr,2,North America,Europe
34,Mac Desktop,FEMALE,Web,facebook,Jul,Apr,4,North America,Europe
70,Windows Desktop,FEMALE,Web,basic,Jul,Apr,5,Europe,North America
66,Windows Desktop,FEMALE,Web,basic,Jul,Feb,1,North America,North America
27,Mac Desktop,FEMALE,Web,basic,Jul,Aug,0,North America,North America
32,Mac Desktop,FEMALE,Web,facebook,Jul,Jul,1,Europe,North America
55,Mac Desktop,FEMALE,Web,facebook,Jul,Apr,4,North America,Europe
55,Windows Desktop,FEMALE,Web,facebook,Jul,Feb,2,Europe,North America
28,Windows Desktop,MALE,Web,basic,Jul,Aug,0,North America,North America
31,Windows Desktop,FEMALE,Web,basic,Jul,Mar,5,North America,North America
18,Windows Desktop,MALE,Web,facebook,Jul,Jul,1,Australia,Europe
43,Mac Desktop,MALE,Web,basic,Jul,Jun,2,North America,North America
33,Mac Desktop,MALE,Web,facebook,Jul,Oct,4,Europe,Europe
45,Mac Desktop,FEMALE,Web,basic,Jul,Sep,4,North America,Europe
72,Windows Desktop,MALE,Web,basic,Jul,Oct,4,North America,North America
30,Mac Desktop,FEMALE,Web,basic,Jul,May,3,North America,North America
48,Mac Desktop,FEMALE,Web,facebook,Jul,Nov,3,North America,North America
39,Windows Desktop,FEMALE,Web,facebook,Jul,Aug,1,Europe,North America
26,Mac Desktop,FEMALE,Web,basic,Jul,Sep,4,Europe,North America
45,Windows Desktop,FEMALE,Web,basic,Jul,Jun,5,Europe,Europe
39,Mac Desktop,FEMALE,Web,facebook,Jul,Oct,0,Europe,North America
35,Windows Desktop,FEMALE,Web,basic,Apr,Mar,5,North America,Europe
32,Mac Desktop,FEMALE,Web,basic,Jul,May,4,Europe,Europe
31,Mac Desktop,MALE,Web,facebook,Jul,Apr,5,Europe,North America
25,Windows Desktop,FEMALE,Web,basic,Jul,Apr,0,Europe,North America
33,Mac Desktop,FEMALE,Web,facebook,Jul,Feb,0,Australia,Europe
58,Mac Desktop,FEMALE,Web,facebook,Jul,Aug,0,North America,North America
31,Windows Desktop,FEMALE,Web,basic,Jul,Sep,1,North America,Europe
32,Windows Desktop,FEMALE,Web,facebook,Aug,Jun,0,North America,North America
29,Windows Desktop,FEMALE,Web,facebook,Aug,Aug,4,Europe,North America
18,Windows Desktop,MALE,Web,basic,Aug,Aug,3,Australia,North America
29,Windows Desktop,MALE,Web,facebook,Aug,Aug,2,Europe,North America
39,Mac Desktop,FEMALE,Web,facebook,Aug,Jun,5,North America,North America
29,Windows Desktop,MALE,Web,basic,Aug,Jan,4,North America,North America
35,Windows Desktop,MALE,Web,facebook,Aug,Jan,5,Australia,North America
34,Windows Desktop,MALE,Web,basic,Aug,Sep,0,Europe,North America
35,Mac Desktop,FEMALE,Web,basic,Aug,Feb,1,North America,North America
31,Mac Desktop,MALE,Web,basic,Aug,Jan,2,North America,North America
30,Windows Desktop,FEMALE,Web,basic,Aug,May,2,Europe,North America
27,Mac Desktop,FEMALE,Web,basic,Aug,Dec,2,North America,North America
73,Mac Desktop,FEMALE,Web,basic,Aug,Nov,2,Europe,North America
42,iPad,FEMALE,Web,facebook,Aug,Jun,3,North America,Europe
50,Mac Desktop,FEMALE,Web,basic,Aug,May,2,Europe,Europe
50,Windows Desktop,MALE,Web,facebook,Aug,Jun,1,Europe,North America
50,Mac Desktop,FEMALE,Web,basic,Aug,Jan,0,Europe,North America
33,Mac Desktop,FEMALE,Web,basic,Aug,Aug,4,Europe,North America
65,iPad,MALE,Web,basic,Aug,Feb,1,Europe,North America
28,Mac Desktop,FEMALE,Web,basic,Aug,Mar,5,Australia,North America
19,Mac Desktop,FEMALE,Web,basic,Aug,Nov,5,North America,North America
66,Windows Desktop,FEMALE,Web,basic,Aug,Mar,1,North America,Europe
57,Windows Desktop,MALE,Web,basic,Aug,Aug,2,Australia,North America
25,Windows Desktop,MALE,Web,basic,Aug,Nov,0,North America,North America
31,Windows Desktop,MALE,Web,basic,Aug,Aug,3,Australia,Europe
35,iPhone,FEMALE,Web,facebook,Aug,Apr,1,North America,North America
38,Windows Desktop,MALE,Web,facebook,Aug,Nov,3,Europe,North America
28,Windows Desktop,FEMALE,Web,facebook,Aug,Jul,5,Australia,North America
32,Windows Desktop,MALE,Web,facebook,Aug,Feb,3,Europe,North America
33,Windows Desktop,FEMALE,Web,basic,Aug,Sep,5,North America,North America
35,Mac Desktop,MALE,Web,facebook,Aug,May,3,Europe,North America
36,Windows Desktop,MALE,Web,basic,Aug,Feb,5,Europe,North America
42,Mac Desktop,FEMALE,Web,basic,Aug,Jul,1,Europe,North America
33,Mac Desktop,MALE,Web,basic,Aug,Jun,5,North America,North America
31,Mac Desktop,MALE,Web,basic,Aug,Oct,1,North America,North America
43,Windows Desktop,FEMALE,Web,basic,Aug,Nov,1,North America,North America
34,Mac Desktop,MALE,Web,basic,Aug,Jan,3,North America,Europe
36,Mac Desktop,FEMALE,Web,basic,Aug,Apr,5,Europe,Europe
39,Mac Desktop,FEMALE,Web,basic,Aug,Feb,1,North America,North America
39,iPad,FEMALE,Web,basic,Aug,Apr,1,Europe,Europe
38,Windows Desktop,MALE,Web,basic,Aug,Aug,5,North America,Europe
25,Mac Desktop,FEMALE,Web,basic,Aug,Aug,5,Europe,North America
27,Mac Desktop,FEMALE,Web,basic,Aug,Aug,2,North America,North America
36,Mac Desktop,FEMALE,Web,facebook,Aug,Jun,5,Europe,Europe
39,Mac Desktop,MALE,Web,facebook,Aug,Apr,1,North America,Europe
66,Windows Desktop,MALE,Web,basic,Aug,Jul,5,North America,North America
28,Mac Desktop,FEMALE,Web,facebook,Aug,Apr,0,Europe,Europe
37,Mac Desktop,FEMALE,Web,basic,Aug,Jun,0,North America,Europe
29,Mac Desktop,MALE,Web,facebook,Aug,Feb,4,Europe,North America
45,Mac Desktop,FEMALE,Web,facebook,Aug,Jun,2,Europe,North America
37,Mac Desktop,FEMALE,Web,facebook,Aug,Oct,3,Europe,North America
36,Mac Desktop,MALE,Web,basic,Aug,Feb,0,Australia,North America
34,Mac Desktop,FEMALE,Web,facebook,Aug,Apr,4,Europe,North America
38,Windows Desktop,MALE,Web,basic,Aug,Oct,2,North America,North America
52,Windows Desktop,FEMALE,Web,basic,Aug,Feb,2,Europe,Europe
39,Mac Desktop,FEMALE,Web,basic,Aug,Jun,5,North America,Europe
31,Windows Desktop,MALE,Web,basic,Aug,Jul,1,Europe,Europe
51,Windows Desktop,MALE,Web,basic,Aug,Nov,0,Europe,North America
46,Mac Desktop,MALE,Web,basic,Aug,Feb,0,Europe,North America
31,Mac Desktop,MALE,Web,basic,Aug,Jun,2,Europe,North America
44,Mac Desktop,MALE,Web,basic,Aug,Jan,5,North America,North America
35,Mac Desktop,FEMALE,Web,basic,Aug,Aug,5,Europe,North America
40,Windows Desktop,MALE,Web,facebook,Aug,Jan,5,Europe,North America
37,Windows Desktop,FEMALE,Web,facebook,Aug,Nov,4,North America,North America
46,Mac Desktop,MALE,Web,facebook,Aug,Apr,1,North America,North America
41,Mac Desktop,MALE,Web,basic,Aug,Jan,1,Europe,North America
24,Mac Desktop,MALE,Web,basic,Aug,Jul,5,Europe,North America
54,Mac Desktop,FEMALE,Web,basic,Sep,Mar,3,North America,North America
33,Mac Desktop,FEMALE,Web,basic,Sep,Aug,2,Europe,North America
41,Mac Desktop,FEMALE,Web,basic,Sep,Nov,4,North America,North America
35,Mac Desktop,FEMALE,Web,basic,Sep,Jun,2,Europe,North America
34,Windows Desktop,MALE,Web,facebook,Sep,Feb,5,Europe,North America
32,Windows Desktop,FEMALE,Web,basic,Sep,Jan,1,Europe,North America
29,Mac Desktop,FEMALE,Web,basic,Sep,Jan,0,North America,North America
28,Mac Desktop,FEMALE,Web,facebook,Sep,Mar,3,North America,North America
48,Windows Desktop,FEMALE,Web,facebook,Sep,Jul,1,North America,North America
41,Windows Desktop,MALE,Web,facebook,Sep,Jun,3,North America,North America
50,Windows Desktop,FEMALE,Web,basic,Sep,Oct,0,North America,North America
30,Mac Desktop,MALE,Web,basic,Sep,Feb,0,Australia,North America
33,Mac Desktop,FEMALE,Web,basic,Sep,Jun,5,North America,North America
35,Mac Desktop,FEMALE,Web,basic,Sep,Apr,5,North America,North America
33,Windows Desktop,MALE,Web,basic,Sep,Nov,1,North America,North America
38,Mac Desktop,MALE,Web,facebook,Sep,Jul,4,North America,North America
38,Windows Desktop,MALE,Web,basic,Sep,May,3,North America,Europe
34,Mac Desktop,MALE,Web,basic,Sep,Nov,2,North America,North America
41,Desktop (Other),MALE,Web,basic,Sep,Aug,2,North America,North America
43,Windows Desktop,MALE,Web,basic,Sep,Feb,5,Europe,North America
31,Mac Desktop,FEMALE,Web,facebook,Sep,Jul,0,North America,North America
31,Windows Desktop,FEMALE,Web,basic,Sep,Jan,2,North America,Europe
46,Mac Desktop,FEMALE,Web,basic,Sep,Apr,3,Europe,North America
58,Mac Desktop,FEMALE,Web,basic,Sep,Feb,2,North America,North America
40,Windows Desktop,MALE,Web,facebook,Sep,Apr,0,North America,North America
42,Mac Desktop,MALE,Web,basic,Sep,Jan,2,Europe,North America
31,Mac Desktop,MALE,Web,facebook,Sep,Sep,1,Europe,North America
29,Mac Desktop,MALE,Web,basic,Sep,Jun,0,North America,North America
